Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Professional,Professional,Poor,Poor,Beginner,Intermediate,Professional,Professional,Poor,Poor,Beginner,Intermediate,Professional,Professional,Intermediate,Poor,Poor,Professional,Lab Technician
Poor,Poor,Professional,Average,Beginner,Average,Intermediate,Average,Beginner,Beginner,Poor,Beginner,Average,Poor,Intermediate,Average,Intermediate,Poor,Lab Technician
Poor,Poor,Beginner,Poor,Beginner,Intermediate,Poor,Poor,Intermediate,Intermediate,Intermediate,Poor,Beginner,Intermediate,Professional,Professional,Average,Average,Lab Technician
Intermediate,Average,Intermediate,Average,Professional,Intermediate,Average,Intermediate,Poor,Intermediate,Poor,Intermediate,Professional,Professional,Intermediate,Poor,Intermediate,Poor,Lab Technician
Beginner,Poor,Beginner,Beginner,Beginner,Average,Poor,Professional,Professional,Beginner,Average,Professional,Average,Average,Professional,Intermediate,Intermediate,Average,Lab Technician
Intermediate,Intermediate,Beginner,Poor,Poor,Intermediate,Average,Professional,Intermediate,Professional,Poor,Intermediate,Average,Poor,Intermediate,Poor,Intermediate,Beginner,Lab Technician
Poor,Beginner,Average,Intermediate,Professional,Average,Professional,Professional,Intermediate,Intermediate,Poor,Professional,Intermediate,Beginner,Average,Beginner,Beginner,Poor,Lab Technician
Intermediate,Professional,Beginner,Professional,Professional,Professional,Average,Intermediate,Intermediate,Professional,Intermediate,Professional,Poor,Professional,Beginner,Poor,Intermediate,Average,Lab Technician
Intermediate,Average,Beginner,Professional,Intermediate,Professional,Professional,Beginner,Professional,Intermediate,Professional,Poor,Poor,Professional,Professional,Beginner,Beginner,Professional,Lab Technician
Intermediate,Poor,Professional,Professional,Beginner,Beginner,Professional,Beginner,Average,Beginner,Intermediate,Average,Beginner,Professional,Professional,Poor,Poor,Intermediate,Lab Technician
Intermediate,Beginner,Beginner,Beginner,Professional,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Poor,Poor,Beginner,Average,Beginner,Beginner,Professional,Average,Lab Technician
Professional,Beginner,Intermediate,Poor,Professional,Beginner,Professional,Beginner,Intermediate,Professional,Intermediate,Beginner,Beginner,Professional,Beginner,Beginner,Intermediate,Average,Lab Technician
Beginner,Average,Beginner,Poor,Intermediate,Intermediate,Professional,Average,Beginner,Professional,Beginner,Intermediate,Beginner,Average,Intermediate,Professional,Average,Beginner,Lab Technician
Intermediate,Poor,Professional,Intermediate,Poor,Professional,Poor,Beginner,Beginner,Intermediate,Poor,Professional,Professional,Intermediate,Average,Professional,Poor,Poor,Lab Technician
Poor,Professional,Intermediate,Poor,Intermediate,Professional,Poor,Intermediate,Beginner,Poor,Intermediate,Poor,Poor,Average,Intermediate,Average,Professional,Beginner,Lab Technician
Beginner,Average,Beginner,Poor,Beginner,Intermediate,Beginner,Average,Poor,Beginner,Poor,Intermediate,Poor,Intermediate,Poor,Average,Beginner,Beginner,Lab Technician
Average,Beginner,Intermediate,Beginner,Professional,Professional,Professional,Beginner,Professional,Beginner,Intermediate,Poor,Poor,Poor,Professional,Professional,Poor,Professional,Lab Technician
Beginner,Average,Poor,Poor,Intermediate,Poor,Intermediate,Average,Intermediate,Intermediate,Beginner,Professional,Poor,Intermediate,Professional,Beginner,Intermediate,Beginner,Lab Technician
Beginner,Intermediate,Average,Average,Professional,Professional,Average,Beginner,Beginner,Average,Average,Professional,Professional,Beginner,Beginner,Poor,Professional,Beginner,Lab Technician
Beginner,Poor,Average,Average,Beginner,Average,Beginner,Poor,Intermediate,Average,Poor,Professional,Intermediate,Professional,Professional,Average,Professional,Average,Lab Technician
Poor,Intermediate,Average,Intermediate,Average,Professional,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Poor,Beginner,Beginner,Intermediate,Beginner,Average,Lab Technician
Intermediate,Beginner,Beginner,Average,Professional,Average,Beginner,Professional,Intermediate,Average,Average,Poor,Intermediate,Poor,Intermediate,Beginner,Poor,Poor,Lab Technician
Beginner,Professional,Beginner,Beginner,Average,Professional,Intermediate,Professional,Intermediate,Poor,Intermediate,Professional,Average,Beginner,Poor,Professional,Professional,Intermediate,Lab Technician
Intermediate,Beginner,Average,Intermediate,Intermediate,Poor,Professional,Beginner,Professional,Beginner,Poor,Intermediate,Beginner,Beginner,Professional,Poor,Poor,Poor,Lab Technician
Poor,Beginner,Intermediate,Professional,Poor,Professional,Professional,Beginner,Beginner,Beginner,Average,Average,Professional,Beginner,Poor,Professional,Poor,Professional,Lab Technician
Average,Professional,Intermediate,Average,Beginner,Average,Beginner,Average,Beginner,Professional,Poor,Professional,Intermediate,Beginner,Poor,Intermediate,Professional,Intermediate,Lab Technician
Intermediate,Beginner,Professional,Poor,Beginner,Professional,Poor,Professional,Poor,Intermediate,Professional,Professional,Intermediate,Intermediate,Professional,Poor,Beginner,Intermediate,Lab Technician
Intermediate,Poor,Beginner,Poor,Professional,Average,Professional,Professional,Average,Average,Average,Beginner,Poor,Intermediate,Poor,Poor,Average,Average,Lab Technician
Beginner,Professional,Beginner,Poor,Professional,Average,Beginner,Poor,Average,Professional,Average,Beginner,Professional,Intermediate,Intermediate,Poor,Beginner,Average,Lab Technician
Professional,Professional,Average,Poor,Poor,Professional,Beginner,Professional,Professional,Poor,Intermediate,Intermediate,Poor,Poor,Poor,Average,Average,Intermediate,Lab Technician
Average,Beginner,Intermediate,Professional,Intermediate,Professional,Beginner,Beginner,Average,Professional,Professional,Professional,Poor,Intermediate,Professional,Intermediate,Poor,Beginner,Lab Technician
Poor,Professional,Beginner,Beginner,Professional,Beginner,Intermediate,Beginner,Average,Poor,Intermediate,Beginner,Average,Average,Average,Beginner,Beginner,Professional,Lab Technician
Professional,Beginner,Beginner,Poor,Intermediate,Beginner,Beginner,Beginner,Poor,Beginner,Professional,Average,Professional,Average,Poor,Average,Beginner,Intermediate,Lab Technician
Intermediate,Professional,Average,Beginner,Average,Beginner,Poor,Average,Poor,Professional,Beginner,Beginner,Beginner,Professional,Intermediate,Professional,Poor,Beginner,Lab Technician
Beginner,Average,Poor,Intermediate,Beginner,Poor,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Poor,Professional,Intermediate,Intermediate,Average,Average,Lab Technician
Beginner,Poor,Beginner,Beginner,Beginner,Professional,Beginner,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Average,Average,Beginner,Intermediate,Beginner,Beginner,Lab Technician
Professional,Poor,Poor,Professional,Beginner,Beginner,Professional,Average,Beginner,Professional,Beginner,Beginner,Poor,Poor,Poor,Average,Poor,Average,Lab Technician
Professional,Average,Beginner,Beginner,Intermediate,Professional,Average,Professional,Average,Intermediate,Intermediate,Poor,Beginner,Average,Poor,Professional,Professional,Average,Lab Technician
Professional,Average,Average,Beginner,Beginner,Poor,Average,Intermediate,Poor,Beginner,Poor,Average,Beginner,Professional,Intermediate,Average,Poor,Intermediate,Medical Representative
Average,Intermediate,Beginner,Average,Beginner,Average,Poor,Beginner,Professional,Average,Average,Average,Beginner,Beginner,Poor,Intermediate,Beginner,Poor,Medical Representative
Intermediate,Intermediate,Professional,Intermediate,Poor,Average,Intermediate,Poor,Intermediate,Poor,Professional,Poor,Poor,Beginner,Average,Poor,Professional,Poor,Medical Representative
Poor,Average,Average,Beginner,Intermediate,Professional,Beginner,Average,Professional,Professional,Intermediate,Beginner,Poor,Professional,Beginner,Average,Intermediate,Average,Medical Representative
Intermediate,Professional,Intermediate,Professional,Professional,Poor,Average,Professional,Poor,Intermediate,Beginner,Beginner,Intermediate,Average,Average,Beginner,Poor,Beginner,Medical Representative
Intermediate,Average,Average,Average,Poor,Professional,Beginner,Professional,Intermediate,Professional,Professional,Average,Beginner,Average,Average,Average,Average,Intermediate,Medical Representative
Intermediate,Beginner,Professional,Beginner,Intermediate,Intermediate,Average,Poor,Beginner,Beginner,Beginner,Poor,Intermediate,Poor,Intermediate,Poor,Beginner,Intermediate,Medical Representative
Intermediate,Intermediate,Poor,Average,Professional,Poor,Professional,Professional,Intermediate,Intermediate,Professional,Average,Intermediate,Average,Average,Poor,Beginner,Intermediate,Medical Representative
Poor,Professional,Poor,Intermediate,Professional,Average,Average,Poor,Average,Intermediate,Average,Poor,Average,Intermediate,Poor,Average,Professional,Poor,Medical Representative
Beginner,Beginner,Intermediate,Poor,Intermediate,Average,Average,Average,Professional,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Poor,Beginner,Poor,Medical Representative
Professional,Professional,Professional,Professional,Average,Beginner,Intermediate,Professional,Professional,Poor,Beginner,Average,Poor,Poor,Beginner,Beginner,Poor,Poor,Medical Representative
Beginner,Poor,Average,Professional,Intermediate,Beginner,Intermediate,Beginner,Beginner,Professional,Professional,Poor,Intermediate,Intermediate,Intermediate,Average,Poor,Intermediate,Medical Representative
Average,Poor,Average,Intermediate,Average,Beginner,Beginner,Professional,Intermediate,Intermediate,Poor,Poor,Average,Beginner,Poor,Intermediate,Intermediate,Beginner,Medical Representative
Beginner,Intermediate,Intermediate,Average,Beginner,Beginner,Beginner,Poor,Professional,Average,Beginner,Poor,Beginner,Beginner,Intermediate,Beginner,Poor,Average,Medical Representative
Professional,Professional,Intermediate,Beginner,Intermediate,Professional,Poor,Professional,Professional,Intermediate,Poor,Intermediate,Poor,Poor,Poor,Intermediate,Average,Beginner,Medical Representative
Intermediate,Professional,Average,Professional,Beginner,Intermediate,Professional,Beginner,Average,Beginner,Intermediate,Professional,Poor,Intermediate,Poor,Average,Intermediate,Average,Medical Representative
Beginner,Average,Poor,Beginner,Poor,Beginner,Average,Average,Average,Intermediate,Professional,Poor,Professional,Beginner,Beginner,Poor,Beginner,Average,Medical Representative
Beginner,Professional,Beginner,Professional,Poor,Intermediate,Beginner,Average,Average,Intermediate,Professional,Poor,Intermediate,Average,Beginner,Average,Poor,Average,Medical Representative
Poor,Average,Average,Intermediate,Intermediate,Beginner,Average,Poor,Professional,Average,Intermediate,Beginner,Beginner,Average,Poor,Beginner,Average,Intermediate,Medical Representative
Professional,Poor,Poor,Poor,Professional,Beginner,Poor,Beginner,Professional,Intermediate,Intermediate,Intermediate,Beginner,Beginner,Professional,Intermediate,Average,Poor,Medical Representative
Average,Poor,Professional,Beginner,Intermediate,Intermediate,Professional,Poor,Professional,Beginner,Intermediate,Poor,Average,Poor,Professional,Poor,Intermediate,Professional,Medical Representative
Intermediate,Average,Poor,Average,Intermediate,Intermediate,Average,Poor,Beginner,Beginner,Poor,Beginner,Professional,Professional,Intermediate,Intermediate,Poor,Average,Medical Representative
Poor,Intermediate,Professional,Professional,Intermediate,Intermediate,Poor,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Professional,Poor,Average,Beginner,Poor,Medical Representative
Beginner,Beginner,Professional,Average,Poor,Professional,Poor,Professional,Average,Intermediate,Beginner,Poor,Average,Professional,Professional,Poor,Beginner,Beginner,Medical Representative
Intermediate,Average,Average,Average,Average,Poor,Average,Poor,Average,Professional,Beginner,Beginner,Professional,Professional,Beginner,Beginner,Beginner,Intermediate,Medical Representative
Average,Professional,Professional,Average,Poor,Beginner,Average,Poor,Poor,Poor,Poor,Professional,Intermediate,Average,Beginner,Professional,Poor,Beginner,Medical Representative
Poor,Poor,Professional,Professional,Beginner,Beginner,Beginner,Poor,Intermediate,Professional,Professional,Professional,Professional,Average,Beginner,Professional,Intermediate,Professional,Medical Representative
Average,Beginner,Professional,Beginner,Average,Average,Intermediate,Average,Beginner,Poor,Professional,Poor,Intermediate,Poor,Beginner,Beginner,Beginner,Poor,Medical Representative
Average,Intermediate,Professional,Intermediate,Beginner,Beginner,Beginner,Poor,Professional,Professional,Professional,Average,Average,Beginner,Beginner,Average,Beginner,Average,Medical Representative
Average,Professional,Professional,Beginner,Poor,Poor,Professional,Average,Average,Poor,Professional,Beginner,Beginner,Poor,Average,Poor,Poor,Poor,Medical Representative
Professional,Intermediate,Professional,Beginner,Average,Poor,Poor,Professional,Professional,Average,Intermediate,Poor,Professional,Poor,Professional,Beginner,Average,Intermediate,Medical Representative
Professional,Beginner,Average,Beginner,Professional,Intermediate,Professional,Professional,Professional,Poor,Beginner,Average,Poor,Beginner,Beginner,Beginner,Beginner,Poor,Medical Representative
Average,Average,Beginner,Intermediate,Professional,Poor,Beginner,Average,Poor,Poor,Professional,Beginner,Beginner,Beginner,Intermediate,Average,Professional,Beginner,Medical Representative
Beginner,Average,Professional,Professional,Poor,Beginner,Beginner,Professional,Poor,Professional,Professional,Beginner,Average,Professional,Poor,Poor,Beginner,Intermediate,Medical Representative
Intermediate,Professional,Intermediate,Poor,Beginner,Professional,Professional,Poor,Poor,Average,Poor,Average,Average,Average,Professional,Professional,Average,Beginner,Medical Representative
Average,Average,Average,Beginner,Poor,Professional,Beginner,Beginner,Poor,Poor,Poor,Poor,Beginner,Intermediate,Beginner,Beginner,Poor,Intermediate,Medical Representative
Professional,Professional,Intermediate,Average,Poor,Beginner,Beginner,Poor,Professional,Professional,Average,Average,Intermediate,Professional,Intermediate,Poor,Intermediate,Professional,Medical Representative
Professional,Average,Professional,Intermediate,Professional,Poor,Poor,Intermediate,Poor,Professional,Professional,Professional,Professional,Intermediate,Poor,Intermediate,Professional,Beginner,Medical Representative
Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Average,Intermediate,Intermediate,Average,Average,Professional,Intermediate,Beginner,Poor,Poor,Beginner,Average,Medical Representative
Beginner,Poor,Average,Intermediate,Poor,Average,Average,Professional,Professional,Poor,Poor,Average,Professional,Intermediate,Professional,Poor,Poor,Average,Medical Representative
Professional,Poor,Professional,Professional,Average,Professional,Poor,Professional,Poor,Professional,Beginner,Beginner,Poor,Intermediate,Beginner,Average,Poor,Poor,Medical Representative
Professional,Average,Professional,Beginner,Beginner,Average,Average,Average,Average,Intermediate,Beginner,Average,Average,Professional,Intermediate,Professional,Beginner,Professional,Medical Representative
Beginner,Professional,Intermediate,Poor,Intermediate,Average,Intermediate,Poor,Average,Beginner,Average,Intermediate,Poor,Professional,Professional,Poor,Beginner,Poor,Medical Representative
Intermediate,Intermediate,Intermediate,Poor,Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Professional,Average,Poor,Intermediate,Poor,Intermediate,Average,Average,Medical Representative
Poor,Intermediate,Intermediate,Beginner,Poor,Average,Average,Beginner,Poor,Professional,Beginner,Beginner,Intermediate,Intermediate,Poor,Beginner,Beginner,Beginner,Medical Representative
Intermediate,Poor,Beginner,Intermediate,Intermediate,Average,Intermediate,Intermediate,Poor,Beginner,Poor,Intermediate,Beginner,Beginner,Average,Beginner,Intermediate,Poor,Medical Representative
Poor,Professional,Beginner,Beginner,Poor,Professional,Poor,Poor,Professional,Intermediate,Poor,Average,Intermediate,Intermediate,Intermediate,Professional,Professional,Professional,Medical Representative
Professional,Professional,Average,Average,Poor,Professional,Professional,Beginner,Intermediate,Poor,Intermediate,Poor,Intermediate,Beginner,Professional,Poor,Intermediate,Poor,Medical Representative
Average,Intermediate,Intermediate,Poor,Professional,Beginner,Average,Intermediate,Average,Professional,Poor,Average,Intermediate,Average,Poor,Beginner,Average,Intermediate,Medical Representative
Poor,Professional,Beginner,Average,Beginner,Intermediate,Poor,Average,Poor,Professional,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Professional,Medical Representative
Poor,Poor,Beginner,Poor,Beginner,Professional,Beginner,Professional,Average,Beginner,Intermediate,Intermediate,Poor,Average,Beginner,Intermediate,Intermediate,Beginner,Medical Representative
Professional,Intermediate,Poor,Professional,Average,Professional,Poor,Average,Average,Average,Professional,Intermediate,Beginner,Professional,Professional,Average,Professional,Average,Medical Representative
Average,Intermediate,Average,Beginner,Poor,Average,Professional,Poor,Beginner,Beginner,Intermediate,Poor,Poor,Intermediate,Average,Beginner,Professional,Average,Medical Representative
Professional,Professional,Beginner,Poor,Intermediate,Professional,Poor,Poor,Professional,Beginner,Average,Intermediate,Intermediate,Average,Professional,Beginner,Beginner,Poor,Medical Representative
Professional,Professional,Poor,Poor,Beginner,Intermediate,Professional,Average,Intermediate,Average,Beginner,Average,Intermediate,Beginner,Beginner,Poor,Beginner,Intermediate,Medical Representative
Professional,Poor,Poor,Intermediate,Poor,Average,Professional,Average,Average,Intermediate,Average,Average,Beginner,Poor,Professional,Beginner,Poor,Intermediate,Medical Representative
Poor,Intermediate,Professional,Professional,Beginner,Beginner,Intermediate,Average,Professional,Poor,Beginner,Average,Professional,Professional,Poor,Poor,Beginner,Poor,Medical Representative
Average,Professional,Beginner,Professional,Professional,Average,Beginner,Professional,Average,Intermediate,Poor,Poor,Professional,Beginner,Professional,Intermediate,Intermediate,Professional,Medical Representative
Average,Poor,Average,Beginner,Intermediate,Beginner,Poor,Professional,Professional,Poor,Beginner,Beginner,Beginner,Beginner,Poor,Professional,Beginner,Average,Medical Representative
Intermediate,Intermediate,Professional,Intermediate,Average,Poor,Poor,Intermediate,Professional,Professional,Poor,Intermediate,Professional,Intermediate,Average,Average,Beginner,Professional,Medical Representative
Average,Poor,Professional,Average,Intermediate,Average,Professional,Professional,Intermediate,Beginner,Intermediate,Professional,Beginner,Poor,Beginner,Intermediate,Professional,Average,Medical Representative
Professional,Beginner,Intermediate,Beginner,Average,Average,Beginner,Average,Average,Professional,Average,Average,Average,Professional,Average,Average,Beginner,Beginner,Medical Representative
Average,Beginner,Professional,Intermediate,Intermediate,Intermediate,Poor,Poor,Beginner,Poor,Professional,Intermediate,Beginner,Beginner,Professional,Poor,Intermediate,Professional,Medical Representative
Professional,Professional,Beginner,Beginner,Intermediate,Intermediate,Average,Beginner,Poor,Professional,Beginner,Poor,Intermediate,Professional,Poor,Average,Intermediate,Intermediate,Medical Representative
Intermediate,Beginner,Beginner,Professional,Professional,Intermediate,Average,Beginner,Average,Intermediate,Average,Average,Intermediate,Poor,Intermediate,Professional,Beginner,Beginner,Medical Representative
Beginner,Beginner,Average,Poor,Intermediate,Professional,Poor,Average,Poor,Professional,Intermediate,Beginner,Poor,Beginner,Professional,Intermediate,Intermediate,Professional,Medical Representative
Average,Beginner,Intermediate,Intermediate,Average,Average,Average,Average,Poor,Beginner,Professional,Average,Professional,Intermediate,Average,Average,Professional,Beginner,Medical Representative
Intermediate,Beginner,Average,Beginner,Poor,Average,Poor,Professional,Poor,Average,Beginner,Professional,Poor,Intermediate,Poor,Poor,Average,Poor,Medical Representative
Intermediate,Beginner,Poor,Average,Poor,Beginner,Average,Professional,Professional,Professional,Professional,Professional,Intermediate,Professional,Intermediate,Professional,Professional,Average,Medical Representative
Average,Poor,Average,Average,Beginner,Beginner,Poor,Professional,Beginner,Professional,Intermediate,Average,Professional,Professional,Beginner,Professional,Poor,Average,Medical Representative
Beginner,Average,Professional,Intermediate,Poor,Average,Intermediate,Poor,Average,Poor,Intermediate,Intermediate,Average,Average,Poor,Intermediate,Beginner,Poor,Medical Representative
Professional,Average,Professional,Professional,Average,Intermediate,Poor,Beginner,Average,Professional,Intermediate,Average,Poor,Poor,Poor,Intermediate,Average,Average,Medical Representative
Beginner,Poor,Poor,Professional,Poor,Poor,Professional,Professional,Professional,Intermediate,Professional,Poor,Beginner,Professional,Intermediate,Beginner,Average,Intermediate,Medical Representative
Poor,Professional,Beginner,Average,Professional,Average,Professional,Average,Poor,Professional,Poor,Intermediate,Intermediate,Intermediate,Average,Beginner,Intermediate,Professional,Medical Representative
Intermediate,Poor,Average,Average,Beginner,Beginner,Poor,Beginner,Professional,Professional,Poor,Average,Professional,Beginner,Intermediate,Intermediate,Poor,Professional,Medical Representative
Professional,Poor,Average,Beginner,Average,Poor,Poor,Professional,Professional,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Professional,Beginner,Beginner,Medical Representative
Poor,Poor,Poor,Average,Beginner,Professional,Beginner,Beginner,Poor,Intermediate,Average,Poor,Average,Intermediate,Intermediate,Poor,Poor,Beginner,Medical Representative
Average,Poor,Beginner,Poor,Average,Intermediate,Poor,Intermediate,Intermediate,Average,Average,Intermediate,Beginner,Average,Intermediate,Poor,Average,Intermediate,Medical Representative
Average,Poor,Poor,Poor,Professional,Average,Professional,Intermediate,Professional,Poor,Poor,Poor,Intermediate,Beginner,Beginner,Beginner,Intermediate,Intermediate,Medical Representative
Professional,Average,Average,Average,Professional,Poor,Average,Poor,Professional,Professional,Average,Professional,Average,Beginner,Average,Professional,Average,Professional,Medical Representative
Beginner,Intermediate,Beginner,Beginner,Beginner,Intermediate,Professional,Professional,Professional,Average,Intermediate,Intermediate,Intermediate,Professional,Beginner,Beginner,Intermediate,Intermediate,Medical Representative
Professional,Beginner,Professional,Poor,Intermediate,Professional,Poor,Average,Intermediate,Intermediate,Beginner,Intermediate,Poor,Intermediate,Beginner,Intermediate,Intermediate,Poor,Medical Representative
Poor,Professional,Intermediate,Average,Average,Beginner,Average,Intermediate,Average,Poor,Poor,Intermediate,Intermediate,Average,Intermediate,Poor,Intermediate,Beginner,Medical Representative
Average,Beginner,Beginner,Intermediate,Beginner,Beginner,Professional,Professional,Average,Poor,Beginner,Average,Intermediate,Professional,Beginner,Beginner,Intermediate,Average,Medical Representative
Professional,Professional,Poor,Professional,Intermediate,Beginner,Intermediate,Professional,Professional,Beginner,Beginner,Professional,Poor,Intermediate,Intermediate,Beginner,Beginner,Beginner,Medical Representative
Intermediate,Average,Beginner,Beginner,Beginner,Average,Beginner,Intermediate,Beginner,Beginner,Poor,Professional,Beginner,Average,Average,Beginner,Professional,Poor,Medical Representative
Poor,Poor,Beginner,Professional,Professional,Intermediate,Intermediate,Professional,Beginner,Poor,Average,Beginner,Beginner,Poor,Professional,Intermediate,Average,Poor,Medical Representative
Beginner,Professional,Professional,Intermediate,Average,Poor,Average,Average,Intermediate,Average,Intermediate,Average,Professional,Beginner,Intermediate,Beginner,Professional,Average,Medical Representative
Intermediate,Professional,Average,Poor,Average,Beginner,Poor,Poor,Beginner,Professional,Poor,Poor,Average,Beginner,Average,Poor,Average,Poor,Medical Representative
Professional,Average,Professional,Beginner,Poor,Poor,Intermediate,Poor,Intermediate,Professional,Average,Beginner,Professional,Average,Professional,Average,Beginner,Intermediate,Medical Representative
Average,Professional,Professional,Average,Poor,Average,Beginner,Beginner,Average,Average,Professional,Professional,Professional,Average,Poor,Average,Intermediate,Beginner,Medical Representative
Professional,Poor,Professional,Professional,Beginner,Poor,Intermediate,Poor,Average,Professional,Beginner,Intermediate,Average,Average,Poor,Beginner,Intermediate,Beginner,Medical Representative
Poor,Beginner,Poor,Beginner,Beginner,Beginner,Average,Poor,Beginner,Professional,Intermediate,Poor,Poor,Average,Poor,Intermediate,Intermediate,Intermediate,Medical Representative
Average,Professional,Poor,Beginner,Intermediate,Beginner,Professional,Average,Poor,Poor,Beginner,Poor,Poor,Professional,Poor,Professional,Poor,Professional,Medical Representative
Beginner,Intermediate,Beginner,Average,Beginner,Poor,Average,Average,Average,Average,Intermediate,Intermediate,Professional,Beginner,Beginner,Poor,Beginner,Beginner,Medical Representative
Professional,Poor,Average,Beginner,Beginner,Poor,Average,Intermediate,Intermediate,Poor,Poor,Professional,Average,Poor,Intermediate,Professional,Average,Beginner,Medical Representative
Intermediate,Beginner,Poor,Intermediate,Professional,Beginner,Average,Intermediate,Average,Intermediate,Intermediate,Poor,Beginner,Beginner,Poor,Average,Beginner,Average,Medical Representative
Beginner,Professional,Intermediate,Intermediate,Beginner,Intermediate,Beginner,Average,Poor,Average,Professional,Intermediate,Professional,Poor,Intermediate,Intermediate,Average,Poor,Medical Representative
Average,Average,Poor,Intermediate,Beginner,Average,Intermediate,Intermediate,Average,Intermediate,Average,Beginner,Average,Poor,Average,Professional,Average,Intermediate,Medical Representative
Beginner,Beginner,Intermediate,Beginner,Professional,Professional,Poor,Average,Average,Poor,Professional,Poor,Poor,Professional,Professional,Average,Beginner,Intermediate,Medical Representative
Professional,Intermediate,Beginner,Average,Beginner,Beginner,Beginner,Intermediate,Professional,Beginner,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Poor,Professional,Medical Representative
Poor,Beginner,Professional,Average,Poor,Intermediate,Average,Beginner,Poor,Intermediate,Poor,Intermediate,Beginner,Beginner,Professional,Poor,Poor,Beginner,Medical Representative
Beginner,Intermediate,Beginner,Average,Professional,Average,Average,Average,Average,Professional,Poor,Average,Poor,Intermediate,Intermediate,Poor,Poor,Beginner,Medical Representative
Intermediate,Poor,Average,Poor,Beginner,Poor,Beginner,Average,Poor,Poor,Poor,Poor,Average,Intermediate,Average,Professional,Professional,Intermediate,Medical Representative
Professional,Intermediate,Poor,Professional,Poor,Professional,Professional,Average,Intermediate,Average,Poor,Beginner,Poor,Average,Beginner,Poor,Intermediate,Professional,Medical Representative
Professional,Intermediate,Intermediate,Poor,Professional,Professional,Intermediate,Professional,Beginner,Beginner,Intermediate,Average,Poor,Intermediate,Professional,Professional,Poor,Beginner,Medical Representative
Poor,Poor,Beginner,Poor,Poor,Average,Beginner,Beginner,Beginner,Poor,Poor,Average,Professional,Professional,Average,Average,Intermediate,Poor,Medical Representative
Average,Intermediate,Average,Professional,Poor,Average,Professional,Professional,Poor,Professional,Intermediate,Intermediate,Intermediate,Poor,Beginner,Beginner,Beginner,Average,Medical Representative
Poor,Intermediate,Intermediate,Beginner,Poor,Intermediate,Poor,Poor,Average,Average,Average,Professional,Intermediate,Average,Poor,Beginner,Poor,Beginner,Medical Representative
Average,Poor,Average,Intermediate,Intermediate,Average,Beginner,Average,Average,Beginner,Average,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Professional,Poor,Medical Representative
Poor,Professional,Beginner,Professional,Professional,Intermediate,Poor,Beginner,Average,Average,Intermediate,Intermediate,Beginner,Beginner,Professional,Intermediate,Average,Average,Medical Representative
Beginner,Professional,Professional,Intermediate,Average,Poor,Average,Intermediate,Poor,Intermediate,Average,Average,Beginner,Poor,Poor,Intermediate,Intermediate,Intermediate,Medical Representative
Average,Poor,Beginner,Poor,Professional,Professional,Intermediate,Professional,Intermediate,Poor,Beginner,Poor,Average,Professional,Intermediate,Average,Beginner,Intermediate,Medical Representative
Intermediate,Poor,Intermediate,Professional,Poor,Average,Professional,Average,Professional,Beginner,Intermediate,Beginner,Professional,Intermediate,Intermediate,Professional,Professional,Beginner,Medical Representative
Professional,Professional,Intermediate,Professional,Professional,Beginner,Poor,Professional,Intermediate,Professional,Intermediate,Professional,Average,Poor,Beginner,Poor,Professional,Beginner,Medical Representative
Average,Poor,Poor,Intermediate,Average,Poor,Professional,Beginner,Beginner,Average,Beginner,Professional,Professional,Beginner,Professional,Intermediate,Beginner,Professional,Medical Representative
Beginner,Average,Average,Intermediate,Poor,Intermediate,Intermediate,Beginner,Professional,Beginner,Average,Beginner,Intermediate,Beginner,Intermediate,Intermediate,Poor,Intermediate,Medical Representative
Average,Average,Poor,Intermediate,Intermediate,Professional,Beginner,Intermediate,Average,Poor,Average,Poor,Professional,Poor,Intermediate,Professional,Beginner,Poor,Medical Representative
Average,Average,Professional,Beginner,Beginner,Beginner,Intermediate,Poor,Intermediate,Beginner,Beginner,Average,Average,Intermediate,Intermediate,Beginner,Intermediate,Poor,Medical Representative
Beginner,Beginner,Professional,Beginner,Poor,Poor,Professional,Poor,Professional,Intermediate,Poor,Professional,Intermediate,Poor,Average,Beginner,Intermediate,Poor,Medical Representative
Poor,Average,Beginner,Intermediate,Poor,Professional,Average,Poor,Beginner,Intermediate,Poor,Poor,Professional,Average,Poor,Professional,Poor,Average,Medical Representative
Beginner,Professional,Intermediate,Beginner,Professional,Poor,Beginner,Professional,Professional,Poor,Beginner,Beginner,Intermediate,Average,Beginner,Professional,Poor,Beginner,Medical Representative
